 2965089269.927269   1150043068.446949   4137894583.314264   3667969183.196872   3935083950.758370   2052554788.420470   3515551196.294387   2845498483.496150   2712510115.688903   1668746654.292929  
 3229228091.627347   1164019875.796103   572473153.342145   1972058498.168870   3507147318.685723   2279014689.875108   366843336.917530   1294836191.704493   1683345627.613112   4158641674.348152  
 1482127510.983061   3049919981.977032   2158753261.475218   3780273129.967311   1737079825.110918   3042947062.301733   2326919385.644372   3991447690.133729   3796746673.200202   3427135996.411541  
 641743518.116492   2466868747.127471   282211870.858490   484670907.430756   1839870736.324343   4217295721.616860   2537225595.851225   1060454736.618731   2767827009.113010   954768515.540129  
 2729201290.911660   1702087904.740356   2118788293.336232   3301674344.253805   3674146302.909227   1330968416.021955   1285721838.128913   4040989539.826757   2625804507.726448   2969067367.742025  
 3904664020.174909   4107931918.709509   1724020153.719057   1768450085.650126   3593237854.676820   3461099878.829975   516429951.951860   1625190044.321192   3157580372.963704   18209431.152062  
 757358846.732733   3799323791.080196   2485078078.279533   1039570617.591223   4283994598.510952   29981618.603877   961899143.208083   2526253000.362177   1090436255.222607   3729726052.321093  
 3481021415.902306   3819637448.134267   1136846761.061450   1304842513.238537   2826344596.388072   516025867.970677   2635810831.260492   4112066336.516985   262048211.797433   966648142.986941  
 2786166508.259010   4166712131.972342   779612867.696450   215219465.978067   1640195021.622468   77883526.373270   3676319244.808042   2156624875.574328   1703073470.694463   2538932421.771745  
 2174834206.726390   2460432217.427196   2043289016.851941   364945089.005924   3500002735.018419   2032316421.362892   394926609.609800   166934682.226502   263602225.725069   1485362764.832408  
